,user,item,rating
90000,777,135,3
90001,837,1009,5
90002,724,895,4
90003,90,135,5
90004,387,12,5
90005,774,214,3
90006,929,433,2
90007,496,1091,1
90008,145,1279,1
90009,401,88,4
90010,734,164,3
90011,919,879,3
90012,764,633,5
90013,313,79,5
90014,425,455,2
90015,234,1010,2
90016,790,183,4
90017,919,875,1
90018,537,340,4
90019,792,15,4
90020,710,286,4
90021,419,69,4
90022,621,82,5
90023,748,408,5
90024,499,1483,1
90025,916,144,3
90026,719,98,5
90027,12,69,5
90028,908,515,4
90029,545,451,3
90030,897,866,5
90031,810,342,5
90032,686,50,4
90033,894,290,2
90034,605,333,4
90035,13,336,2
90036,629,435,4
90037,796,685,4
90038,892,98,5
90039,636,235,4
90040,932,162,4
90041,896,420,4
90042,213,924,4
90043,749,298,4
90044,807,515,4
90045,466,679,3
90046,344,496,4
90047,942,705,4
90048,941,763,3
90049,805,258,3
90050,883,785,3
90051,752,332,4
90052,326,523,4
90053,880,1014,4
90054,846,215,5
90055,688,879,5
90056,880,1224,3
90057,878,136,4
90058,344,319,1
90059,870,198,4
90060,218,98,5
90061,643,956,4
90062,752,752,3
90063,171,326,2
90064,695,333,2
90065,883,173,4
90066,394,549,4
90067,455,172,4
90068,795,50,3
90069,892,568,4
90070,608,197,5
90071,848,197,5
90072,266,100,5
90073,749,821,3
90074,846,515,5
90075,388,200,5
90076,883,304,3
90077,600,568,4
90078,891,118,4
90079,500,846,3
90080,513,763,3
90081,599,1,4
90082,663,864,3
90083,436,425,4
90084,326,519,5
90085,470,327,3
90086,889,405,2
90087,456,793,3
90088,716,72,3
90089,72,106,4
90090,373,465,4
90091,44,190,5
90092,833,13,2
90093,800,121,4
90094,908,482,3
90095,711,161,4
90096,655,372,3
90097,394,627,5
90098,727,25,3
90099,863,336,2
90100,724,351,1
90101,934,498,3
90102,751,739,3
90103,561,25,2
90104,221,117,4
90105,899,357,4
90106,436,11,5
90107,928,172,5
90108,293,410,2
90109,612,25,3
90110,160,325,3
90111,804,646,4
90112,916,425,5
90113,267,12,5
90114,647,202,4
90115,771,694,3
90116,798,801,3
90117,932,1411,4
90118,872,1376,2
90119,374,925,3
90120,704,197,5
90121,864,49,3
90122,523,1036,4
90123,829,20,3
90124,509,181,4
90125,13,813,1
90126,766,968,4
90127,877,98,5
90128,727,679,5
90129,650,642,3
90130,342,514,5
90131,778,35,1
90132,293,238,4
90133,458,515,4
90134,943,2,5
90135,614,1142,3
90136,862,1009,4
90137,638,226,5
90138,764,7,4
90139,272,134,5
90140,918,529,3
90141,887,143,5
90142,95,462,4
90143,840,637,3
90144,881,520,5
90145,883,550,3
90146,894,960,5
90147,936,221,4
90148,887,115,5
90149,642,393,5
90150,880,556,3
90151,549,323,2
90152,152,660,5
90153,833,76,2
90154,201,508,4
90155,833,197,3
90156,666,69,3
90157,910,1,4
90158,730,151,4
90159,932,165,4
90160,826,651,4
90161,293,820,2
90162,868,82,2
90163,757,145,3
90164,591,110,2
90165,642,191,4
90166,823,143,4
90167,916,188,3
90168,682,1019,5
