x1,x2,x3,x4,x5,x6,y
1,1,1,1,1,1,1
1,1,1,1,1,0,2
1,1,1,1,0,1,3
1,1,1,1,0,0,4
1,1,1,0,1,1,5
1,1,1,0,1,0,6
1,1,1,0,0,1,7
1,1,1,0,0,0,8
1,1,0,1,1,1,9
1,1,0,1,1,0,10
1,1,0,1,0,1,11
1,1,0,1,0,0,12
1,1,0,0,1,1,13
1,1,0,0,1,0,14
1,1,0,0,0,1,15
1,1,0,0,0,0,16
1,0,1,1,1,1,17
1,0,1,1,1,0,18
1,0,1,1,0,1,19
1,0,1,1,0,0,20
1,0,1,0,1,1,21
1,0,1,0,1,0,22
1,0,1,0,0,1,23
1,0,1,0,0,0,24
1,0,0,1,1,1,25
1,0,0,1,1,0,26
1,0,0,1,0,1,27
1,0,0,1,0,0,28
1,0,0,0,1,1,29
1,0,0,0,1,0,30
1,0,0,0,0,1,31
1,0,0,0,0,0,32
0,1,1,1,1,1,33
0,1,1,1,1,0,34
0,1,1,1,0,1,35
0,1,1,1,0,0,36
0,1,1,0,1,1,37
0,1,1,0,1,0,38
0,1,1,0,0,1,39
0,1,1,0,0,0,40
0,1,0,1,1,1,41
0,1,0,1,1,0,42
0,1,0,1,0,1,43
0,1,0,1,0,0,44
0,1,0,0,1,1,45
0,1,0,0,1,0,46
0,1,0,0,0,1,47
0,1,0,0,0,0,48
0,0,1,1,1,1,49
0,0,1,1,1,0,50
0,0,1,1,0,1,51
0,0,1,1,0,0,52
0,0,1,0,1,1,53
0,0,1,0,1,0,54
0,0,1,0,0,1,55
0,0,1,0,0,0,56
0,0,0,1,1,1,57
0,0,0,1,1,0,58
0,0,0,1,0,1,59
0,0,0,1,0,0,60
0,0,0,0,1,1,61
0,0,0,0,1,0,62
0,0,0,0,0,1,63
0,0,0,0,0,0,64
